#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-5.0,50,1715.847043
-6.0,50,1717.783969
-5.0,50,1719.818505
-5.0,50,1721.849467
-5.0,50,1723.973293
-5.0,50,1725.893217
-6.0,50,1727.906765
-5.0,50,1730.036132
-5.0,50,1732.027204
-6.0,50,1733.983314
-5.0,50,1735.825809
-5.0,50,1737.687017
-5.0,50,1739.496839
-6.0,50,1741.612271
-11.0,50,1743.609703
-5.0,50,1745.525099
-5.0,50,1747.505525
-6.0,50,1749.557401
-5.0,50,1751.373743
-5.0,50,1753.275928
-6.0,50,1755.361785
-6.0,50,1757.282733
-5.0,50,1759.208642
-5.0,50,1761.181044
-5.0,50,1763.212211
-6.0,50,1765.214292
-8.0,50,1767.173603
-6.0,50,1769.054932
-5.0,50,1771.233516
-6.0,50,1773.109982
-6.0,50,1775.240474
-5.0,50,1777.247133
-5.0,50,1779.271782
-7.0,50,1781.209275
-6.0,50,1783.038068
-5.0,50,1784.992874
-6.0,50,1786.898598
-5.0,50,1788.868515
-7.0,50,1790.839998
-7.0,50,1792.736803
-6.0,50,1794.678236
-9.0,50,1796.719369
-5.0,50,1798.707549
-5.0,50,1800.789334
-6.0,50,1802.663058
-5.0,50,1804.699203
-8.0,50,1806.839151
-5.0,50,1808.81047
-5.0,50,1810.880868
-8.0,50,1812.980973
-5.0,50,1814.827436
-7.0,50,1816.822942
-5.0,50,1818.884258
-5.0,50,1821.020246
-7.0,50,1823.084107
-5.0,50,1825.144966
-9.0,50,1827.041728
-5.0,50,1829.08228
-5.0,50,1831.159083
-6.0,50,1833.181225
-6.0,50,1835.391189
-6.0,50,1837.40369
-5.0,50,1839.462213
-6.0,50,1841.542938
-5.0,50,1843.605224
-10.0,50,1845.636341
-6.0,50,1847.618387
-8.0,50,1849.654503
-7.0,50,1851.582069
-7.0,50,1853.650498
-5.0,50,1855.802469
-7.0,50,1857.933671
-5.0,50,1859.846332
-7.0,50,1861.69696
-12.0,50,1863.829293
-5.0,50,1865.851481
-5.0,50,1867.930507
-5.0,50,1869.877211
-5.0,50,1872.036835
-6.0,50,1874.073033
